Name,Human_Score,Mouse_Score
CXXC1,0.017648322,3.35E-05
CXXC4,0.198246988,0.007860906
CXXC5,8.85E-06,3.68E-05
CYB561,0.007000723,9.89E-08
CYB561A3,1,1
CYB561D1,0.122097291,0.000143502
CYB5A,0.081877403,0.000121662
CYB5B,0.002372831,1.40E-08
CYB5D1,1,0.22853333
CYB5D2,0.000518021,9.23E-05
CYB5R1,8.20E-06,1.43E-08
CYB5R2,1,1
CYB5R3,0.001655183,8.63E-13
CYB5R4,0.022550832,2.38E-05
CYBA,0.340196257,0.243282089
CYBRD1,0.955430151,1
CYC1,1,5.12E-12
CYCS,0.005776224,0.000440243
CYFIP1,0.029846737,0.000169908
CYFIP2,0.00030357,2.47E-10
CYGB,0.9397145,0.001040741
CYHR1,0.001889483,5.07E-07
CYLD,0.027760819,0.000319671
CYP11A1,1,1
CYP1B1,0.04730789,0.000280902
CYP20A1,0.068744042,4.56E-05
CYP26B1,0.404495918,1
CYP27A1,0.000161466,1
CYP2C18,1,1
CYP2D6,1,0.646404282
CYP2E1,1,1
CYP2F1,1,1
CYP2J2,1,0.500764753
CYP2R1,0.200395663,1
CYP2S1,1,1
CYP2U1,0.000276519,0.012346327
CYP39A1,0.418510874,0.023685143
CYP3A43,1,1
CYP3A5,0.747558038,1
CYP46A1,0.142537004,0.000407047
CYP4B1,1,0.006763688
CYP4F22,1,0.340836034
CYP4F3,1,1
CYP4V2,1,0.003617394
CYP4X1,0.002994983,0.000629947
CYP51A1,1,2.64E-07
CYP7B1,0.071519973,0.043637593
CYS1,0.166701712,0.98843833
CYSLTR1,0.389723976,1
CYSRT1,0.250329119,1
CYSTM1,1.93E-08,9.14E-11
CYTH1,2.22E-05,8.95E-06
CYTH2,0.053707114,5.13E-07
CYTH3,5.53E-06,4.77E-06
CYTH4,1,1
CYTIP,1,1
CYTL1,1,1
CYYR1,1,1
D2HGDH,0.000793182,0.001930377
DAAM1,0.000109882,0.000194433
DAAM2,0.844876366,0.115293323
DAB1,0.001480726,0.05017615
DAB2,1,1
DAB2IP,1.74E-05,0.001081174
DACH1,0.013101873,0.376703519
DACH2,1,1
DACT1,0.089756517,0.142830833
DACT2,1,1
DACT3,0.348274641,0.001950356
DAD1,2.44E-06,2.99E-10
DAG1,0.015368658,0.000345886
DAGLA,0.09318177,0.008454919
DAGLB,0.003340251,0.000474483
DALRD3,0.362465749,1.03E-06
DAND5,1,0.00015629
DAO,1,1
DAP,0.478386864,0.00013034
DAP3,1.08E-05,1.63E-06
DAPK1,5.29E-05,0.000113083
DAPK2,0.00369412,0.001438815
DAPK3,3.30E-07,0.005909797
DAPL1,4.72E-05,0.344887005
DAPP1,1,1
DARS2,1,0.000788919
DAW1,1,1
DAXX,0.003617824,1.52E-05
DAZ2,1,1
DAZAP1,0.00012933,0.000382428
DAZAP2,0.002831149,1.93E-10
DAZL,1,1
DBF4,0.361134083,1
DBI,0.534270914,5.04E-11
DBN1,2.66E-05,7.04E-08
DBNDD1,0.087692735,0.000480339
DBNL,0.002880972,1.86E-10
DBP,0.475789585,1
DBR1,0.446523223,0.001412758
DBT,0.074778332,0.001419027
DBX2,1,0.228418745
DCAF1,0.006420546,1
DCAF10,0.00833447,0.001899119
DCAF11,1,2.70E-05
DCAF12,0.00773627,1.03E-07
DCAF12L2,1,0.500081934
DCAF13,0.146537988,0.001017983
DCAF15,0.000383196,0.000446654
DCAF17,0.027817867,0.001868317
DCAF4,0.185073574,0.001011958
DCAF5,0.008344931,6.67E-05
DCAF6,9.27E-05,4.88E-05
DCAF7,0.000602793,1.46E-06
DCAF8,0.010311709,0.000113244
DCAKD,0.023688494,3.15E-05
DCBLD1,0.385099962,6.07E-05
DCBLD2,0.004007169,0.003756833
DCC,0.067778946,1
DCDC2,1,1
DCDC2B,1,1
DCDC2C,0.077654401,1
DCHS1,1,1
DCK,0.121999398,1.80E-05
DCLK1,3.03E-06,5.39E-06
DCLK2,9.96E-07,0.002140843
DCLK3,1,4.64E-05
DCLRE1A,1,0.016074702
DCLRE1B,1,0.059603631
DCLRE1C,0.050317608,0.036080584
DCN,1,0.000116349
DCP1A,0.039272132,0.012630976
DCP1B,0.039468199,0.008380075
DCP2,0.156499626,0.004125196
DCPS,1,4.57E-05
DCST1,1,1
DCT,1,1
DCTD,6.38E-05,0.027641672
DCTN1,0.682659481,7.55E-09
DCTN2,0.006258229,2.54E-12
DCTN3,0.53853026,2.64E-18
DCTN4,0.000211231,2.20E-06
DCTN5,0.004801321,4.54E-11
DCTN6,8.60E-05,1.45E-10
DCTPP1,0.033585209,6.40E-06
DCUN1D1,0.021321464,0.500006059
DCUN1D2,0.011851319,2.72E-06
DCUN1D4,0.000304895,2.00E-05
DCUN1D5,0.067032845,2.56E-07
DCX,0.007123679,1
DCXR,0.00010367,0.001013334
DDA1,0.000445243,5.55E-10
DDAH1,1.55E-05,1.24E-06
DDAH2,0.032495008,1.79E-05
DDB1,0.009257979,1.42E-09
DDB2,0.060049052,1
DDC,1,1
DDHD1,0.005669213,0.000539061
DDHD2,0.000119276,3.48E-05
DDIAS,1,1
DDIT3,0.004831255,3.15E-07
DDIT4,0.004568444,0.008235172
DDIT4L,1,0.373142704
DDO,1,1
DDOST,0.008799784,1.30E-08
DDR1,1,0.000166042
DDR2,0.027817867,1
DDRGK1,0.000143944,6.79E-08
DDT,0.002957304,6.30E-09
DDTL,1,6.30E-09
DDX1,0.019207263,8.82E-07
DDX10,0.050693023,3.15E-06
DDX11,0.155239354,1
DDX17,9.18E-05,6.16E-06
DDX18,0.287648357,0.000564836
DDX19A,0.061031428,0.001858684
DDX19B,1,0.001088079
DDX20,0.407293881,0.00118366
DDX21,0.038485089,0.000310591
DDX23,0.107375298,0.022951795
DDX24,0.000449354,1.01E-07
DDX25,1,5.64E-05
DDX27,0.004474231,7.77E-05
DDX28,0.43045,0.000119623
DDX31,0.075464292,0.000193385
DDX39A,0.101823937,1
DDX3X,0.00589494,3.96E-08
DDX3Y,1,6.15E-05
DDX4,0.416785424,1
DDX41,0.831618979,0.000622127
DDX42,0.000381993,5.91E-07
DDX46,0.003260528,0.000980238
DDX47,1,5.42E-05
DDX49,0.029740937,6.14E-05
DDX5,0.005130627,2.03E-10
DDX50,0.00027317,3.04E-05
DDX51,0.048384469,0.002300264
DDX52,0.032644438,1.67E-05
DDX54,0.008015535,1.76E-05
DDX55,0.101026884,0.000182194
DDX56,0.002193411,8.92E-06
DDX58,0.066205351,0.000153043
DDX59,0.086547045,0.001707545
DDX6,3.82E-05,0.000110587
DDX60,0.481906034,1
DEAF1,1.40E-05,7.78E-06
DECR1,0.099696234,1.36E-05
DECR2,1,1.19E-06
DEDD,0.04542893,0.057467815
DEDD2,0.039832592,0.00033034
DEF6,0.509874055,9.15E-05
DEF8,0.005064684,1.02E-05
DEFB118,1,1
DEFB123,1,1
DEFB124,1,1
DEFB132,1,1
DEFB134,1,1
DEFB135,1,1
DEGS1,0.000180731,2.65E-14
DEGS2,1,1
DEK,0.074778332,0.000104429
DENND1A,4.83E-05,0.073982198
DENND1B,0.002574122,0.003174331
DENND2A,0.006287108,0.002355179
DENND2C,0.178928155,1
DENND3,0.02447319,1
DENND4A,0.00026186,0.000497468
DENND4B,0.01385871,0.014165032
DENND4C,0.005200812,0.845001264
DENND5A,0.003115031,2.99E-05
DENND5B,0.000281141,0.00321082
DENND6A,0.000221455,0.126125505
DENND6B,5.73E-06,0.002670036
DENR,6.62E-05,8.89E-07
DEPDC1B,0.723443366,1
DEPDC5,0.129988978,0.001737459
DEPDC7,1,0.013097896
DEPTOR,0.018791725,8.94E-06
DERA,0.004302697,0.003107554
DERL1,0.030828671,4.57E-08
DERL2,1,1.16E-05
DERL3,1,1
DES,0.089680768,1
DESI1,0.01249643,0.000385947
DESI2,0.106192995,0.10793623
DET1,0.225351488,0.004540045
DEXI,0.161591216,0.000155086
DFFA,0.019175835,1.13E-09
DFFB,0.096594367,0.007482308
DGAT1,0.090060047,5.35E-05
DGAT2,1,0.00021602
DGAT2L6,1,1
DGCR2,4.25E-08,0.500044086
DGCR6,1,1.22E-06
DGCR6L,0.000206527,1.22E-06
DGCR8,0.003532607,0.011153488
DGKA,0.099820359,0.000933716
DGKB,0.000234212,1
DGKD,0.000973097,0.015318948
DGKE,0.009384235,0.001278702
DGKG,0.000749311,1.97E-05
DGKH,2.45E-11,1.79E-05
DGKI,2.05E-06,0.000348718
DGKK,0.786499552,1
DGKQ,0.029034881,0.02526458
DGKZ,4.52E-06,4.73E-08
DGUOK,2.55E-07,8.32E-05
DHCR24,2.92E-09,3.58E-07
DHCR7,0.010870435,0.000314574
DHDDS,0.000183105,5.28E-07
DHDH,0.435888996,0.001477889
DHFR,0.866099138,0.005078477
DHH,1,0.016707586
DHODH,1,0.001124221
DHPS,0.000880917,1.39E-07
DHRS1,0.315510376,4.91E-12
DHRS11,0.827117028,0.000501887
DHRS13,0.002840427,0.000152198
DHRS2,1,1
DHRS3,0.467032509,0.222186433
DHRS4,0.456918719,7.57E-06
DHRS4L2,0.002675923,7.57E-06
DHRS7,0.003701927,7.88E-08
DHRS7B,0.003265314,1.51E-06
DHTKD1,0.011180669,1
DHX15,0.007389172,3.59E-06
DHX16,0.969995334,0.000416536
DHX29,0.09683629,0.000100767
DHX30,4.05E-05,4.97E-06
DHX32,0.007038795,1.78E-05
DHX33,1,0.000411973
DHX34,0.018082559,0.008883965
DHX35,0.018967404,0.000353004
DHX36,0.006320249,2.75E-05
DHX37,0.030395814,0.040045929
DHX38,0.028670735,0.001268444
DHX40,0.011795345,5.30E-05
DHX57,0.019428468,8.64E-06
DHX58,1,0.367287057
DHX8,0.010948953,0.000279443
DHX9,0.00080206,0.001065539
DIABLO,1,1.40E-08
DIAPH1,0.024666254,1
DIAPH2,0.001735605,1
DIAPH3,0.050810818,1
DICER1,0.002115526,0.003658434
DIDO1,0.059967785,0.005247182
DIMT1,1,0.003696917
DIO2,0.460040938,1
DIP2A,0.098298454,0.01110346
DIP2B,9.68E-06,0.000120849
DIP2C,1.78E-06,2.61E-05
DIRAS1,3.32E-08,1.32E-07
DIRAS2,0.000796871,0.000990374
DIS3,0.826634884,0.142667242
DIS3L,0.036922052,0.000428784
DIS3L2,0.005141104,0.00045201
DISC1,0.03829839,1
DISP1,1,0.012595075
DISP2,0.130402215,7.84E-07
DISP3,1,1
DIXDC1,0.015160899,0.056021274
DKC1,0.531998131,1.94E-05
DKK1,1,1
DKK2,0.527337571,1
DKK3,0.000242594,1.10E-06
DKKL1,1,0.007147069
DLAT,0.049944512,1.41E-07
DLC1,0.004024239,0.016595992
DLD,0.007987852,5.46E-08
DLEC1,1,1
DLEU7,0.080691384,1
DLG1,0.032093809,0.066755764
DLG2,8.21E-06,0.004644887
DLG3,0.348274641,0.425991424
DLG4,4.36E-06,0.000749114
DLG5,0.09924221,0.004766837
DLGAP1,2.12E-06,0.001206262
DLGAP2,0.000202818,1
DLGAP3,0.002774779,0.026581852
DLGAP4,6.12E-06,5.43E-05
DLGAP5,1,1
DLK2,0.054227836,1
DLL1,0.34210498,1
DLL3,0.600037203,0.510877459
DLL4,1,1
DLST,0.005250417,6.49E-08
DLX1,1,1
DLX3,1,0.303458381
DMAP1,0.002556497,0.000351212
DMC1,0.458711519,1
DMD,0.004625762,0.009880294
DMKN,1,1
DMPK,0.074226844,0.246267295
DMRT1,0.205858123,1
DMRT2,1,1
DMRTA2,1,1
DMTF1,0.003486834,3.06E-05
DMTN,4.53E-09,6.51E-06
DMWD,1,4.61E-06
DMXL1,0.002019017,0.0033037
DMXL2,0.001859328,5.41E-06
DNA2,0.088027712,1
DNAAF2,0.038335669,0.09634839
DNAAF3,1,1
DNAAF5,0.187230625,1
DNAH10,0.84585859,1
DNAH7,0.799771538,1
DNAH8,1,1
DNAJA2,0.00539796,2.39E-10
DNAJA3,0.011100767,1.12E-06
DNAJA4,0.01180233,0.000125584
DNAJB1,1,5.76E-08
DNAJB11,1,2.71E-06
DNAJB12,0.044491918,4.49E-05
DNAJB13,1,1
DNAJB14,0.000794656,3.36E-05
DNAJB2,1.50E-08,2.94E-05
DNAJB4,1,2.04E-06
DNAJB5,1,0.00927101
DNAJB6,0.000606316,1.18E-05
DNAJB7,1,1
DNAJB9,0.003736373,7.03E-07
DNAJC1,0.000406665,0.002623736
DNAJC10,0.164367094,5.53E-08
DNAJC11,0.009915785,4.33E-05
DNAJC12,0.011470928,1.11E-05
DNAJC13,0.005590043,0.000518488
DNAJC14,1,3.12E-05
DNAJC15,0.138464267,0.000130441
DNAJC16,0.000992464,0.003839485
DNAJC17,0.012725299,0.00126958
DNAJC18,0.057389111,6.07E-06
DNAJC19,0.758278977,0.015901273
DNAJC2,0.095472044,2.07E-06
DNAJC21,0.010178467,0.00035625
DNAJC22,1,1
DNAJC24,0.124019333,0.000175763
DNAJC27,0.110626944,0.0002514
DNAJC28,1,0.002963124
DNAJC3,0.005006282,3.57E-06
DNAJC30,0.000596958,3.34E-05
DNAJC4,0.013454216,0.000191099
DNAJC5,2.64E-07,2.74E-08
DNAJC5B,1,0.055364293
DNAJC5G,1,1
DNAJC6,8.59E-08,1.72E-05
DNAJC7,0.000331985,2.00E-08
DNAJC8,4.34E-05,3.03E-10
DNAJC9,0.000631463,1.19E-05
DNAL1,0.00548223,0.104442188
DNASE1,0.03650833,1
DNASE1L1,0.853750694,9.26E-05
DNASE1L2,1,1
DNASE1L3,1,0.000220447
DNASE2,0.173872015,1
DND1,0.020688982,1
DNER,5.55E-10,3.20E-07
DNHD1,0.325356773,1
DNLZ,1,2.34E-07
DNM1,2.40E-05,1.29E-06
DNM1L,0.000220187,1.23E-11
DNM2,0.00488111,4.34E-05
DNM3,2.13E-08,3.00E-06
DNMBP,0.048045867,0.750076515
DNMT1,0.262793688,0.000159775
DNMT3A,0.031266653,0.014961324
DNMT3B,1,1
DNMT3L,1,1
DNPEP,0.118423042,3.65E-06
DNPH1,0.860326983,0.020390637
DNTT,1,1
DNTTIP1,0.018546018,0.000595154
DNTTIP2,0.108657376,0.000193594
DOC2A,0.164179001,1
DOC2B,0.348112659,1
DOCK1,0.003469168,1
DOCK10,0.006395348,0.033527666
DOCK11,0.002957304,2.49E-06
DOCK2,1,1
DOCK3,9.54E-08,0.00407947
DOCK4,0.003069268,0.0103062
DOCK5,0.002665797,0.000511835
DOCK6,0.130816546,1
DOCK7,0.035447201,0.000111094
DOCK8,0.658967638,1
DOCK9,0.001163336,0.00069974
DOHH,8.67E-10,0.500000106
DOK1,0.905978743,0.00599656
DOK2,1,1
DOK3,0.553799461,1
DOK4,5.13E-08,1.81E-09
DOK5,3.48E-05,0.000241268
DOK6,0.000164705,1
DOK7,0.763207692,0.004085974
DOLK,1,5.06E-06
DOLPP1,4.95E-05,2.88E-06
DONSON,1,0.004453694
DOT1L,0.041258819,0.005182328
DPAGT1,0.684459825,2.11E-06
DPEP1,1,1
DPEP2,1,1
DPF1,0.236933694,0.030913605
DPF2,0.00221585,3.18E-08
DPF3,0.371407272,0.050462747
DPH1,0.932368323,0.153160384
DPH2,1,0.000269703
DPH3,0.198186115,6.42E-07
DPH5,0.160270282,0.000442675
DPH6,0.005179673,0.000669961
DPH7,0.001479948,0.021679492
DPM1,0.020257804,0.503533366
DPM2,0.00134332,4.37E-09
DPM3,0.00042955,7.15E-07
DPP10,2.95E-06,2.99E-05
DPP3,1,9.91E-05
DPP4,1,1
DPP6,6.24E-10,4.04E-08
DPP7,2.24E-05,7.59E-05
DPP8,3.33E-05,0.000267456
DPP9,0.043924949,1.80E-05
DPPA2,1,1
DPPA4,1,1
DPT,1,1
DPY19L1,0.178390228,0.002093722
DPY19L3,0.567426626,1
DPY19L4,0.003900455,0.001659199
DPY30,4.66E-05,3.70E-12
DPYD,5.70E-05,0.003471373
DPYS,0.736347343,0.769246444
DPYSL2,1.87E-11,6.96E-14
DPYSL3,5.09E-09,2.26E-12
DPYSL4,0.083184542,0.005027257
DPYSL5,8.63E-08,3.08E-05
DQX1,1,1
DR1,0.526328339,7.02E-05
DRAM1,0.386349192,1
DRAM2,0.059106632,4.30E-10
DRAP1,0.001790039,2.59E-06
DRAXIN,0.736106492,1
DRC1,0.099159846,0.057693191
DRC3,0.629599442,1
DRD2,1,1
DRD3,1,1
DRD5,1,1
DRG1,0.000114059,2.78E-09
DRG2,0.012651092,2.70E-06
DRGX,0.000633292,0.000109584
DROSHA,0.01826275,1.80E-05
DRP2,0.043384682,0.012287374
DSC2,1,1
DSCAM,5.87E-07,0.02088546
DSCAML1,1,1
DSCC1,1,1
DSE,0.347454505,0.000847844
DSEL,0.906224058,0.00150416
DSG1,1,1
DSG2,1,1
DSG3,1,1
DSN1,0.372013568,0.007837479
DST,1.68E-06,3.26E-08
DSTN,2.31E-05,5.91E-13
DSTYK,0.003845248,0.001455885
DTD1,0.001894041,3.64E-10
DTD2,1,0.007145778
DTL,1,1
DTNA,0.002527345,7.34E-05
DTNBP1,0.004213081,2.62E-06
DTWD1,0.322266394,0.000250607
DTWD2,0.647160072,0.007521669
DTX1,1,1
DTX2,0.014584916,0.01008693
DTX3,0.033312473,8.05E-07
DTX3L,0.125966523,0.00270569
DTX4,0.122391363,0.023260557
DTYMK,0.100193506,2.08E-06
DUOXA1,1,1
DUS1L,0.116715047,3.78E-05
DUS2,0.121218604,0.09628498
DUS3L,1,2.52E-06
DUS4L,1,0.022298829
DUSP1,0.000130987,9.07E-06
DUSP10,1,0.001184728
DUSP11,0.014344885,3.70E-05
DUSP12,0.047396836,0.000134501
DUSP13,1,1
DUSP14,0.063121112,0.000734399
DUSP15,2.87E-05,0.001029842
DUSP16,0.057939393,0.010834356
DUSP18,0.00057917,0.004685221
DUSP19,1,0.001002254
DUSP2,1,1
DUSP22,0.002985704,2.38E-06
DUSP23,4.62E-06,0.002206929
DUSP26,0.00189886,6.92E-12
DUSP28,1,1.29E-05
DUSP4,1,1
DUSP5,0.000450272,0.01409827
DUSP6,1,3.35E-06
DUSP7,1,0.001462326
DUSP8,0.00222627,6.66E-05
DUSP9,1,1
DUT,0.00099602,4.45E-06
DVL1,0.000529484,0.00033959
DVL2,0.215185466,1
DVL3,0.003744831,0.002355179
DXO,1,0.004938098
DYDC1,0.351492393,1
DYDC2,1,0.038480424
DYM,0.003481779,9.44E-06
DYNC1H1,4.14E-07,4.17E-08
DYNC1I1,4.85E-09,3.94E-10
DYNC1I2,7.01E-08,3.26E-10
DYNC1LI1,0.000127073,1.34E-09
DYNC1LI2,6.27E-05,2.87E-09
DYNC2H1,0.048953223,0.027011741
DYNC2LI1,0.090516946,3.32E-06
DYNLL1,2.40E-07,0.5
DYNLL2,1.23E-12,7.09E-08
DYNLRB1,4.23E-08,5.70E-20
DYNLRB2,1,0.04052983
DYNLT1,0.049021847,0.470997481
DYNLT3,3.05E-09,4.35E-17
DYRK1A,0.019662479,0.001871538
DYRK1B,0.001004955,0.002100865
DYRK2,0.859212032,0.673089466
DYRK3,1,0.013664722
DYRK4,1,0.00144053
DYSF,0.000124061,0.000291608
DYTN,1,1
DZANK1,0.225514727,0.003210022
DZIP1,0.076056424,0.040128378
DZIP1L,1,1
DZIP3,0.000288353,0.000509832
E2F1,0.000243694,2.85E-05
E2F2,1,0.087199437
E2F3,5.62E-05,0.004228092
E2F4,0.067868941,2.10E-05
E2F5,0.504790134,0.007779187
E2F6,0.115915658,1.53E-05
E2F7,1,1
E2F8,1,1
E4F1,0.085555517,0.0009277
EAF1,0.009729414,5.23E-05
EAF2,0.006951139,1
EAPP,0.003175373,2.16E-07
EARS2,0.340932778,0.165227637
EBAG9,0.126873781,1.36E-05
EBF1,2.24E-12,4.65E-09
EBF2,0.037270288,0.49667433
EBF3,0.044724647,0.001812197
EBF4,0.000765609,0.001044373
EBI3,1,1
EBNA1BP2,0.073293893,5.32E-07
EBP,0.000835322,6.71E-07
EBPL,0.011663289,0.003004818
ECD,0.002184831,2.14E-05
ECE1,2.19E-05,1.58E-05
ECEL1,1,1
ECH1,0.286681489,2.35E-07
ECHDC1,0.077018556,0.003306389
ECHDC2,0.047374586,0.007890278
ECHDC3,0.144497786,1
ECHS1,8.52E-06,2.55E-05
ECI1,0.056378712,1.91E-06
ECI2,0.46088063,0.500003615
ECM1,1,0.081464973
ECM2,1,1
ECSCR,1,1
ECSIT,0.011921597,4.18E-07
ECT2,0.181569948,1
ECT2L,0.850783996,1
EDA,0.008987417,1
EDA2R,1,1
EDAR,1,1
EDARADD,0.116103338,1
EDC3,0.005995302,5.10E-05
EDC4,1,7.74E-05
EDDM3A,1,1
EDEM1,0.402904287,0.000825202
EDEM2,0.348611857,4.85E-05
EDEM3,0.244606901,0.001328752
EDF1,1.93E-08,5.10E-15
EDIL3,3.58E-13,5.23E-07
EDN1,1,1
EDN2,1,1
EDN3,1,1
EDNRA,0.000757069,0.057843864
EDNRB,1,0.003620289
EDRF1,0.041060967,0.135500626
EEA1,0.000216917,9.40E-06
EED,0.053904991,9.90E-05
EEF1A1,0.297047928,8.85E-17
EEF1A2,1.72E-09,5.57E-06
EEF1AKMT1,0.000594059,1
EEF1B2,1,7.59E-11
EEF1D,0.001278238,2.65E-05
EEF1G,1,5.71E-09
EEF2,2.89E-05,1.12E-13
EEF2K,0.002718805,0.000407047
EEF2KMT,1,1
EEFSEC,4.40E-05,0.000315426
EEPD1,1.01E-05,1.07E-11
EFCAB10,0.938781226,0.000323967
EFCAB12,1,1
EFCAB14,0.100151988,0.000382161
EFCAB2,0.006295379,0.001101008
EFCAB3,1,1
EFCAB5,0.038728932,1
EFCAB6,0.083826706,1
EFCAB7,0.056455905,0.003205584
EFCAB8,0.297382791,1
EFCAB9,1,1
EFCC1,1,0.61066071
EFEMP1,1,0.041073108
EFEMP2,0.824227679,0.003854519
EFHC1,0.228800261,0.012180061
EFHC2,0.005880305,0.015831026
EFHD1,0.004549471,0.985539967
EFHD2,0.001647044,4.71E-06
EFL1,0.002764342,1
EFNA1,0.135981798,4.49E-07
EFNA2,1,0.042758137
EFNA3,1,0.422415395
EFNA5,1.02E-06,0.000266061
EFNB1,0.029575313,0.105638111
EFNB2,0.027789331,0.004058949
EFNB3,1,1
EFR3A,0.000147171,2.62E-06
EFR3B,0.005179673,0.000493165
EFS,1,1
EFTUD2,0.006047137,0.00012264
EGF,0.277597936,1
EGFL6,1,1
EGFL7,5.30E-06,0.000184185
EGFLAM,0.185350734,1
EGFR,0.568987478,1
EGLN3,0.01779537,1
EGR1,1,0.004085254
EGR2,1,0.180678752
EGR4,1,1
EHBP1,3.88E-09,0.000379735
EHBP1L1,0.061444685,0.000206518
EHD1,0.00069248,5.93E-06
EHD2,0.563182405,0.01002075
EHD3,1.47E-05,9.15E-11
EHD4,0.925497151,8.85E-06
EHF,1,1
EHHADH,1,0.585606745
EHMT1,0.073582378,0.000480612
EHMT2,0.019931247,0.000154744
EI24,9.06E-05,2.02E-05
EID1,0.000513391,1.19E-05
EID2,0.00856182,0.000392189
EID2B,0.018556202,0.001849096
EIF1,4.40E-05,2.68E-11
EIF1AD,0.022598808,4.16E-07
EIF1AX,0.000324102,4.34E-09
EIF1B,1.48E-06,2.01E-15
EIF2A,0.114887933,7.70E-07
EIF2AK1,0.000576907,9.22E-06
EIF2AK2,0.003024066,4.04E-05
EIF2AK3,0.040161001,0.000123615
EIF2AK4,0.032922691,0.005433519
EIF2B1,0.005578809,1.78E-06
EIF2B2,1,3.94E-08
EIF2B3,3.15E-05,0.001480498
EIF2B4,0.045107665,9.30E-06
EIF2B5,0.068079318,3.63E-07
EIF2D,0.141703483,0.000166042
EIF2S1,0.105410837,1.85E-06
EIF2S2,0.000365862,5.29E-07
EIF2S3,0.000785117,0.000129027
EIF3A,0.000246183,3.79E-08
EIF3B,0.000102309,7.19E-08
EIF3C,1,3.48E-11
EIF3CL,1,3.48E-11
EIF3D,0.513003082,5.30E-07
EIF3E,0.292076471,3.87E-07
EIF3F,0.43124381,4.96E-07
EIF3G,0.035394826,1.37E-10
EIF3H,0.012314367,1.62E-11
EIF3I,0.23287931,1.18E-08
EIF3J,6.88E-05,0.098707194
EIF3K,4.77E-06,1.48E-10
EIF3L,0.251873106,2.55E-08
EIF3M,0.053731815,2.26E-06
EIF4A3,0.316158981,0.666667688
EIF4B,0.022324102,1.26E-07
EIF4E,8.03E-05,3.87E-06
EIF4E1B,1,1
EIF4E2,0.153453645,3.16E-06
EIF4E3,0.004366368,2.38E-06
EIF4EBP1,0.173413575,0.002474773
EIF4EBP2,0.022634846,0.007561216
EIF4EBP3,1,1
EIF4ENIF1,0.000243143,0.000128882
EIF4G1,0.000846921,3.76E-07
EIF4G2,1.04E-05,8.52E-10
EIF4G3,3.45E-05,1.90E-05
EIF4H,0.069874182,8.62E-12
EIF5A,0.000351762,2.63E-15
EIF5A2,0.006016774,3.11E-07
EIF5AL1,1,2.63E-15
EIF5B,0.000162642,2.81E-06
EIF6,0.30802488,4.09E-08
ELAC2,0.065211996,0.001224528
ELANE,1,1
ELAVL1,0.000437113,0.000357701
ELAVL2,8.75E-10,1.06E-08
ELAVL3,7.14E-08,8.95E-07
ELAVL4,1.51E-10,3.36E-13
ELF1,0.006848409,0.00022281
ELF2,0.000119276,0.066969362
ELF4,1,1
ELF5,1,1
ELFN1,0.134754541,0.018990622
ELFN2,1,1
ELK1,0.416927607,0.016322288
ELK3,0.163615798,0.003845265
ELK4,0.129525391,0.009271094
ELL,0.06138945,0.000503368
ELL2,0.001504887,0.000365038
ELMO1,1.55E-06,1.20E-05
ELMO2,0.059240504,2.34E-06
ELMO3,1,1
ELMOD1,0.001616153,0.004419842
ELMOD2,0.29004969,0.000157328
ELMOD3,0.033535138,0.000701737
ELN,0.814657188,1
ELOF1,0.173019193,4.72E-06
ELOVL1,1,2.27E-07
ELOVL2,0.574014118,0.511608034
ELOVL3,1,1
ELOVL4,0.000149722,1.88E-07
ELOVL5,5.32E-07,1.00E-10
ELOVL6,6.22E-05,4.79E-05
ELOVL7,1.58E-07,1.10E-08
ELP2,0.017893968,6.58E-05
ELP3,0.015152293,5.59E-08
ELP4,0.189974056,0.00024929
ELP5,0.010049466,1.48E-08
ELP6,0.013132314,0.003112074
EMB,0.000274384,7.28E-10
EMC1,0.146025701,3.15E-05
EMC10,0.011120698,1.64E-08
EMC2,0.056455905,2.51E-07
EMC3,0.000315673,2.28E-07
EMC4,1,4.58E-11
EMC6,0.157926085,2.98E-06
EMC7,0.009552853,3.06E-06
EMC8,0.023788551,0.003246377
EMC9,0.399698628,2.12E-06
EMCN,0.203223857,1
EMD,0.000110735,0.000129755
EME1,1,1
EME2,0.007770728,0.063836445
EMID1,1,1
EMILIN1,1,1
EMILIN2,1,1
EMILIN3,1,1
EML1,0.006919739,6.65E-10
EML2,2.78E-06,1.46E-05
EML3,0.230759942,0.002190161
EML4,0.001400079,0.002365108
EML5,0.033652067,0.10394212
EML6,0.013946799,1
EMP1,0.048037052,0.373458972
EMP2,0.003284517,0.018427523
EMP3,0.017070214,1.78E-09
EMSY,0.081108333,1
EMX1,1,1
ENAH,6.66E-06,0.000602668
ENC1,1,0.000984934
ENDOD1,0.000566816,1.48E-11
ENDOG,4.06E-05,0.043667175
ENDOV,0.020688982,0.062645546
ENG,0.073775226,1
ENGASE,0.061444685,0.002634678
ENHO,0.008204618,5.54E-06
ENKD1,0.590993019,0.501528953
ENKUR,1,1
ENO1,0.001479948,0.015262024
ENO2,8.94E-10,2.76E-12
ENO3,0.961243286,0.000570897
ENO4,0.089491628,1
ENOPH1,1.25E-05,3.59E-07
ENOX1,8.68E-11,8.11E-06
ENOX2,0.002015811,0.000192759
ENPEP,1,1
ENPP1,0.112032384,1
ENPP2,0.32624426,0.001660645
ENPP3,1,1
ENPP4,0.001685707,2.83E-05
